currency,exchange_rate,exchange_rate_%,ingestion_timestamp
SAR,5.1178,511.8,2025-07-06 16:31:13
SBD,11.6608,1166.1,2025-07-06 16:31:13
SCR,19.5282,1952.8,2025-07-06 16:31:13
SDG,609.2185,60921.8,2025-07-06 16:31:13
SEK,13.0475,1304.8,2025-07-06 16:31:13
SGD,1.7393,173.9,2025-07-06 16:31:13
SHP,1.0,100.0,2025-07-06 16:31:13
SLE,30.6061,3060.6,2025-07-06 16:31:13
SLL,30606.0338,3060603.4,2025-07-06 16:31:13
SOS,779.5253,77952.5,2025-07-06 16:31:13
SRD,50.955,5095.5,2025-07-06 16:31:13
SSP,6446.5989,644659.9,2025-07-06 16:31:13
STN,28.3843,2838.4,2025-07-06 16:31:13
SYP,17936.3388,1793633.9,2025-07-06 16:31:13
SZL,24.0084,2400.8,2025-07-06 16:31:13
THB,44.1828,4418.3,2025-07-06 16:31:13
TJS,13.4194,1341.9,2025-07-06 16:31:13
TMT,4.7776,477.8,2025-07-06 16:31:13
TND,3.9049,390.5,2025-07-06 16:31:13
TOP,3.2243,322.4,2025-07-06 16:31:13
TRY,54.4092,5440.9,2025-07-06 16:31:13
TTD,9.2569,925.7,2025-07-06 16:31:13
TVD,2.0821,208.2,2025-07-06 16:31:13
TWD,39.4972,3949.7,2025-07-06 16:31:13
TZS,3607.4579,360745.8,2025-07-06 16:31:13
UAH,57.0004,5700.0,2025-07-06 16:31:13
UGX,4896.7399,489674.0,2025-07-06 16:31:13
USD,1.3647,136.5,2025-07-06 16:31:13
UYU,54.3056,5430.6,2025-07-06 16:31:13
UZS,17234.1034,1723410.3,2025-07-06 16:31:13
VES,152.0568,15205.7,2025-07-06 16:31:13
VND,35554.9738,3555497.4,2025-07-06 16:31:13
VUV,162.1049,16210.5,2025-07-06 16:31:13
WST,3.6456,364.6,2025-07-06 16:31:13
XAF,759.9536,75995.4,2025-07-06 16:31:13
XCD,3.6848,368.5,2025-07-06 16:31:13
XCG,2.4429,244.3,2025-07-06 16:31:13
XDR,0.9933,99.3,2025-07-06 16:31:13
XOF,759.9536,75995.4,2025-07-06 16:31:13
XPF,138.2511,13825.1,2025-07-06 16:31:13
YER,330.4448,33044.5,2025-07-06 16:31:13
ZAR,24.0084,2400.8,2025-07-06 16:31:13
ZMW,33.0215,3302.2,2025-07-06 16:31:13
ZWL,36.7872,3678.7,2025-07-06 16:31:13
