currency,exchange_rate,exchange_rate_%,ingestion_timestamp
RWF,1949.3414,194934.1,2025-07-20 17:42:25
SAR,5.0333,503.3,2025-07-20 17:42:25
SBD,11.0305,1103.0,2025-07-20 17:42:25
SCR,19.2901,1929.0,2025-07-20 17:42:25
SDG,598.9678,59896.8,2025-07-20 17:42:25
SEK,12.9776,1297.8,2025-07-20 17:42:25
SGD,1.7242,172.4,2025-07-20 17:42:25
SHP,1.0,100.0,2025-07-20 17:42:25
SLE,30.3169,3031.7,2025-07-20 17:42:25
SLL,30316.9027,3031690.3,2025-07-20 17:42:25
SOS,764.6636,76466.4,2025-07-20 17:42:25
SRD,50.0544,5005.4,2025-07-20 17:42:25
SSP,6357.0353,635703.5,2025-07-20 17:42:25
STN,28.2744,2827.4,2025-07-20 17:42:25
SYP,17215.6486,1721564.9,2025-07-20 17:42:25
SZL,23.7654,2376.5,2025-07-20 17:42:25
THB,43.4982,4349.8,2025-07-20 17:42:25
TJS,13.0569,1305.7,2025-07-20 17:42:25
TMT,4.6971,469.7,2025-07-20 17:42:25
TND,3.8779,387.8,2025-07-20 17:42:25
TOP,3.1959,319.6,2025-07-20 17:42:25
TRY,54.2097,5421.0,2025-07-20 17:42:25
TTD,9.319,931.9,2025-07-20 17:42:25
TVD,2.0608,206.1,2025-07-20 17:42:25
TWD,39.4859,3948.6,2025-07-20 17:42:25
TZS,3494.6522,349465.2,2025-07-20 17:42:25
UAH,56.1235,5612.4,2025-07-20 17:42:25
UGX,4790.0856,479008.6,2025-07-20 17:42:25
USD,1.3422,134.2,2025-07-20 17:42:25
UYU,54.1831,5418.3,2025-07-20 17:42:25
UZS,16971.011,1697101.1,2025-07-20 17:42:25
VES,159.9185,15991.8,2025-07-20 17:42:25
VND,34969.6593,3496965.9,2025-07-20 17:42:25
VUV,160.4093,16040.9,2025-07-20 17:42:25
WST,3.5742,357.4,2025-07-20 17:42:25
XAF,757.0123,75701.2,2025-07-20 17:42:25
XCD,3.624,362.4,2025-07-20 17:42:25
XCG,2.4026,240.3,2025-07-20 17:42:25
XDR,0.981,98.1,2025-07-20 17:42:25
XOF,757.0123,75701.2,2025-07-20 17:42:25
XPF,137.716,13771.6,2025-07-20 17:42:25
YER,323.4544,32345.4,2025-07-20 17:42:25
ZAR,23.7655,2376.5,2025-07-20 17:42:25
ZMW,30.8773,3087.7,2025-07-20 17:42:25
ZWL,35.9676,3596.8,2025-07-20 17:42:25
